丸々,まるまる,suru,まるまる
丸まる,まるまる,godan,まるま
丸める,まるめる,ichidan,まる
丸洗い,まるあらい,suru,まるあらい
丹精,たんせい,suru,たんせい
主催,しゅさい,suru,しゅさい
主唱,しゅしょう,suru,しゅしょう
主宰,しゅさい,suru,しゅさい
主導,しゅどう,suru,しゅどう
主張,しゅちょう,suru,しゅちょう
主演,しゅえん,suru,しゅえん
主管,しゅかん,suru,しゅかん
乖離,かいり,suru,かいり
乗せる,のせる,ichidan,の
乗っかる,のっかる,godan,のっか
乗る,のる,godan,の
乗務,じょうむ,suru,じょうむ
乗船,じょうせん,suru,じょうせん
乗車,じょうしゃ,suru,じょうしゃ
乗降,じょうこう,suru,じょうこう
乞う,こう,godan,こ
乱す,みだす,godan,みだ
乱れる,みだれる,ichidan,みだ
乱伐,らんばつ,suru,らんばつ
乱入,らんにゅう,suru,らんにゅう
乱売,らんばい,suru,らんばい
乱射,らんしゃ,suru,らんしゃ
乱打,らんだ,suru,らんだ
乱暴,らんぼう,suru,らんぼう
乱獲,らんかく,suru,らんかく
乱用,らんよう,suru,らんよう
乱発,らんぱつ,suru,らんぱつ
乱立,らんりつ,suru,らんりつ
乱舞,らんぶ,suru,らんぶ
乱読,らんどく,suru,らんどく
乱闘,らんとう,suru,らんとう
乾かす,かわかす,godan,かわか
乾く,かわく,godan,かわ
乾杯,かんぱい,suru,かんぱい
乾燥,かんそう,suru,かんそう
了承,りょうしょう,suru,りょうしょう
了解,りょうかい,suru,りょうかい
予告,よこく,suru,よこく
予報,よほう,suru,よほう
予定,よてい,suru,よてい
予想,よそう,suru,よそう
予感,よかん,suru,よかん
予断,よだん,suru,よだん
予期,よき,suru,よき
予測,よそく,suru,よそく
予知,よち,suru,よち
予約,よやく,suru,よやく
予習,よしゅう,suru,よしゅう
予見,よけん,suru,よけん
予言,よげん,suru,よげん
予防,よぼう,suru,よぼう
争う,あらそう,godan,あらそ
争奪,そうだつ,suru,そうだつ
事がある,ことがある,godan,ことあ
事になる,ことになる,godan,ことにな
事による,ことによる,godan,ことによ
二度寝,にどね,suru,にどね
互選,ごせん,suru,ごせん
亡くす,なくす,godan,な
亡くなる,なくなる,godan,な
亡命,ぼうめい,suru,ぼうめい
亢進,こうしん,suru,こうしん
交う,かう,godan,か
交える,まじえる,ichidan,まじ
交わす,かわす,godan,かわ
交わる,まじわる,godan,まじわ
交付,こうふ,suru,こうふ
交代,こうたい,suru,こうたい
交信,こうしん,suru,こうしん
交尾,こうび,suru,こうび
交差,こうさ,suru,こうさ
