嗚呼,ああ
硬質,こうしつ
後者,こうしゃ
校舎,こうしゃ
公社,こうしゃ
公舎,こうしゃ
巧者,こうしゃ
侯爵,こうしゃく
公爵,こうしゃく
講釈,こうしゃく
公社債,こうしゃさい
高射特科,こうしゃとっか
高射砲,こうしゃほう
好守,こうしゅ
攻守,こうしゅ
甲種,こうしゅ
口臭,こうしゅう
講習,こうしゅう
広州,こうしゅう
公衆,こうしゅう
公衆衛生,こうしゅうえいせい
公衆電話,こうしゅうでんわ
高収入,こうしゅうにゅう
高周波,こうしゅうは
絞首刑,こうしゅけい
高所,こうしょ
鉱床,こうしょう
厚相,こうしょう
公称,こうしょう
校章,こうしょう
高尚,こうしょう
考証,こうしょう
交渉,こうしょう
公証人,こうしょうにん
公職,こうしょく
紅色,こうしょく
好色,こうしょく
更新,こうしん
交信,こうしん
行進,こうしん
後進,こうしん
亢進,こうしん
行進曲,こうしんきょく
後進国,こうしんこく
興信所,こうしんじょ
香辛料,こうしんりょう
小路,こうじ
麹,こうじ
工事,こうじ
公示,こうじ
工事中,こうじちゅう
口実,こうじつ
公述,こうじゅつ
口述,こうじゅつ
公序,こうじょ
皇女,こうじょ
控除,こうじょ
向上,こうじょう
恒常,こうじょう
口上,こうじょう
荒城,こうじょう
工場,こうじょう
江上,こうじょう
口上書,こうじょうしょ
甲状腺,こうじょうせん
公序良俗,こうじょりょうぞく
行人,こうじん
公人,こうじん
降水,こうすい
香水,こうすい
高水準,こうすいじゅん
降水量,こうすいりょう
構図,こうず
洪水,こうずい
更正,こうせい
恒星,こうせい
後世,こうせい
校正,こうせい
更生,こうせい
構成,こうせい
攻勢,こうせい
公正,こうせい
厚生,こうせい
厚生施設,こうせいしせつ
厚生省,こうせいしょう
公正証書,こうせいしょうしょ
好成績,こうせいせき
高精度,こうせいど
厚生年金,こうせいねんきん
高性能,こうせいのう
抗生物質,こうせいぶっしつ
鉱石,こうせき
功績,こうせき
航跡,こうせき
公設,こうせつ
降雪,こうせつ
巧拙,こうせつ
交戦,こうせん
高専,こうせん
抗戦,こうせん
公選,こうせん
好戦,こうせん
光線,こうせん
交戦国,こうせんこく
公然,こうぜん
控訴,こうそ
公訴,こうそ
酵素,こうそ
高層,こうそう
好走,こうそう
抗争,こうそう
高僧,こうそう
構想,こうそう
拘束,こうそく
梗塞,こうそく
光速,こうそく
校則,こうそく
高速,こうそく
拘束時間,こうそくじかん
高速度,こうそくど
高速道路,こうそくどうろ
高卒,こうそつ
構造,こうぞう
構造物,こうぞうぶつ
皇族,こうぞく
後続,こうぞく
航続距離,こうぞくきょり
小唄,こうた
抗体,こうたい
後退,こうたい
交代,こうたい
皇太后,こうたいごう
皇太子,こうたいし
皇太子妃,こうたいしひ
光沢,こうたく
好打,こうだ
後代,こうだい
広大,こうだい
後段,こうだん
講談,こうだん
公団,こうだん
耕地,こうち
高地,こうち
拘置,こうち
構築,こうちく
拘置所,こうちしょ
紅茶,こうちゃ
口中,こうちゅう
高潮,こうちょう
紅潮,こうちょう
校長,こうちょう
好調,こうちょう
公聴会,こうちょうかい
硬直,こうちょく
工賃,こうちん
交通,こうつう
交通機関,こうつうきかん
交通事故,こうつうじこ
交通費,こうつうひ
交通網,こうつうもう
好都合,こうつごう
校庭,こうてい
公定,こうてい
肯定,こうてい
皇帝,こうてい
行程,こうてい
公邸,こうてい
工程,こうてい
高低,こうてい
公定歩合,こうていぶあい
公的,こうてき
好敵手,こうてきしゅ
鋼鉄,こうてつ
更迭,こうてつ
荒天,こうてん
好天,こうてん
高点,こうてん
好転,こうてん
後天性,こうてんせい
後天的,こうてんてき
公電,こうでん
香典,こうでん
香典返し,こうでんがえし
好投,こうとう
高等,こうとう
口頭,こうとう
公党,こうとう
高騰,こうとう
高等科,こうとうか
高等学校,こうとうがっこう
高等裁判所,こうとうさいばんしょ
口答試問,こうとうしもん
高等専門学校,こうとうせんもんがっこう
口頭弁論,こうとうべんろん
荒唐無稽,こうとうむけい
高徳,こうとく
硬度,こうど
高度,こうど
行動,こうどう
公道,こうどう
坑道,こうどう
講堂,こうどう
購読,こうどく
鉱毒,こうどく
坑内,こうない
構内,こうない
校内,こうない
港内,こうない
口内炎,こうないえん
小女子,こうなご
硬軟,こうなん
抗日,こうにち
購入,こうにゅう
後任,こうにん
公認,こうにん
公認会計士,こうにんかいけいし
高熱,こうねつ
光熱,こうねつ
光熱費,こうねつひ
光年,こうねん
高年,こうねん
後年,こうねん
更年期,こうねんき
更年期障害,こうねんきしょうがい
効能,こうのう
硬派,こうは
荒廃,こうはい
交配,こうはい
後輩,こうはい
高配,こうはい
紅白,こうはく
後発,こうはつ
後半,こうはん
鋼板,こうはん
公判,こうはん
広範,こうはん
広範囲,こうはんい
後半生,こうはんせい
後半戦,こうはんせん
購買,こうばい
勾配,こうばい
紅梅,こうばい
購買力,こうばいりょく
香ばしい,こうばしい
交番,こうばん
降板,こうばん
公費,こうひ
工費,こうひ
硬筆,こうひつ
講評,こうひょう
好評,こうひょう
公表,こうひょう
高品質,こうひんしつ
交尾,こうび
交付,こうふ
公布,こうふ
校風,こうふう
幸福,こうふく
降伏,こうふく
興奮,こうふん
後部,こうぶ
鉱物,こうぶつ
好物,こうぶつ
公文,こうぶん
公文書,こうぶんしょ
工兵,こうへい
公平,こうへい
後編,こうへん
神戸,こうべ
抗弁,こうべん
候補,こうほ
広報,こうほう
高峰,こうほう
航法,こうほう
工法,こうほう
公報,こうほう
後方,こうほう
候補者,こうほしゃ
酵母,こうぼ
公募,こうぼ
興亡,こうぼう
工房,こうぼう
攻防,こうぼう
公僕,こうぼく
高慢,こうまん
香味,こうみ
高密度,こうみつど
鉱脈,こうみゃく
巧妙,こうみょう
功名,こうみょう
光明,こうみょう
公民,こうみん
公民館,こうみんかん
公民権,こうみんけん
皇民党,こうみんとう
公務,こうむ
工務,こうむ
公務員,こうむいん
高名,こうめい
公明,こうめい
公明正大,こうめいせいだい
公明党,こうめいとう
項目,こうもく
校門,こうもん
肛門,こうもん
広野,こうや
紺屋,こうや
荒野,こうや
公約,こうやく
高野豆腐,こうやどうふ
公有,こうゆう
交友,こうゆう
校友,こうゆう
交遊,こうゆう
公用,こうよう
効用,こうよう
高揚,こうよう
紅葉,こうよう
広葉樹,こうようじゅ
公用文,こうようぶん
甲羅,こうら
高麗,こうらい
行楽,こうらく
行楽地,こうらくち
高利,こうり
小売,こうり
小売価格,こうりかかく
高率,こうりつ
効率,こうりつ
公立,こうりつ
効率的,こうりつてき
小売り店,こうりてん
小売物価指数,こうりぶっかしすう
攻略,こうりゃく
交流,こうりゅう
興隆,こうりゅう
拘留,こうりゅう
考慮,こうりょ
稿料,こうりょう
香料,こうりょう
綱領,こうりょう
効力,こうりょく
後輪,こうりん
高齢,こうれい
好例,こうれい
恒例,こうれい
高齢者,こうれいしゃ
後列,こうれつ
航路,こうろ
高炉,こうろ
香炉,こうろ
功労,こうろう
公論,こうろん
口論,こうろん
講話,こうわ
講和,こうわ
港湾,こうわん
港湾局,こうわんきょく
肥,こえ
声,こえ
小枝,こえだ
呼応,こおう
小躍り,こおどり
氷,こおり
氷水,こおりみず
氷室,こおりむろ
固化,こか
顧客満足,こかくまんぞく
木陰,こかげ
枯渇,こかつ
戸外,こがい
子飼い,こがい
子会社,こがいしゃ
小型,こがた
小刀,こがたな
小金,こがね
黄金,こがね
小柄,こがら
木枯らし,こがらし
小為替,こがわせ
湖岸,こがん
古希,こき
小刻み,こきざみ
小気味,こきみ
小気味良い,こきみよい
顧客,こきゃく
呼吸,こきゅう
呼吸器,こきゅうき
故郷,こきょう
小切手,こぎって
酷,こく
刻,こく
石,こく
黒衣,こくい
国威,こくい
刻一刻,こくいっこく
刻一刻と,こくいっこくと
刻印,こくいん
虚空,こくう
国営,こくえい
国益,こくえき
黒煙,こくえん
黒鉛,こくえん
国王,こくおう
国外,こくがい
国学,こくがく
国技,こくぎ
国軍,こくぐん
国語,こくご
国語学,こくごがく
国語辞典,こくごじてん
国際,こくさい
国債,こくさい
国際化,こくさいか
国際協力事業団,こくさいきょうりょくじぎょうだん
国際色,こくさいしょく
国際人,こくさいじん
国際的,こくさいてき
国際法,こくさいほう
国際連合,こくさいれんごう
国策,こくさく
国産,こくさん
国士,こくし
酷使,こくし
国史,こくし
国書,こくしょ
酷暑,こくしょ
国事,こくじ
告示,こくじ
酷似,こくじ
国情,こくじょう
黒人,こくじん
国人,こくじん
国粋,こくすい
国粋主義,こくすいしゅぎ
国政,こくせい
国勢,こくせい
国勢調査,こくせいちょうさ
国籍,こくせき
国是,こくぜ
国税,こくぜい
国税局,こくぜいきょく
国税庁,こくぜいちょう
告訴,こくそ
穀倉,こくそう
国葬,こくそう
国対,こくたい
国体,こくたい
国大,こくだい
告知,こくち
黒鳥,こくちょう
国定,こくてい
国鉄,こくてつ
黒点,こくてん
国土,こくど
黒土,こくど
国道,こくどう
国土計画,こくどけいかく
国土庁,こくどちょう
国内,こくない
国内旅行,こくないりょこう
告白,こくはく
告発,こくはつ
黒板,こくばん
国費,こくひ
酷評,こくひょう
国賓,こくひん
国府,こくふ
国富,こくふ
国風,こくふう
克服,こくふく
国文,こくぶん
国文学,こくぶんがく
国分寺,こくぶんじ
告別,こくべつ
国宝,こくほう
国法,こくほう
国防,こくぼう
国防会議,こくぼうかいぎ
国民,こくみん
国民健康保険,こくみんけんこうほけん
国民宿舎,こくみんしゅくしゃ
国民審査,こくみんしんさ
国民性,こくみんせい
国民総生産,こくみんそうせいさん
国民体育大会,こくみんたいいくたいかい
国民的,こくみんてき
国民投票,こくみんとうひょう
国民年金,こくみんねんきん
国務,こくむ
国務省,こくむしょう
国務大臣,こくむだいじん
国務長官,こくむちょうかん
国名,こくめい
克明,こくめい
穀物,こくもつ
国有,こくゆう
国有化,こくゆうか
黒曜石,こくようせき
国立,こくりつ
国立劇場,こくりつげきじょう
国立博物館,こくりつはくぶつかん
国力,こくりょく
穀類,こくるい
国連,こくれん
国論,こくろん
小口,こぐち
孤軍奮闘,こぐんふんとう
苔,こけ
固形,こけい
焦げ付き,こげつき
個々,ここ
此処,ここ
孤高,ここう
故国,ここく
個々人,ここじん
心地,ここち
心地よい,ここちよい
九重,ここのえ
９日,ここのか
九つ,ここのつ
此処等,ここら
心,こころ
心当たり,こころあたり
心意気,こころいき
心得,こころえ
心から,こころから
心がけ,こころがけ
心構え,こころがまえ
心変わり,こころがわり
心配り,こころくばり
心苦しい,こころぐるしい
志,こころざし
心遣い,こころづかい
心強い,こころづよい
心憎い,こころにくい
心根,こころね
心残り,こころのこり
心細い,こころぼそい
心待ち,こころまち
試み,こころみ
心持ち,こころもち
快い,こころよい
心を込めて,こころをこめて
古今,ここん
古語,こご
古豪,こごう
小声,こごえ
小言,こごと
小作,こさく
小さじ,こさじ
小雨,こさめ
古参,こさん
小細工,こざいく
小魚,こざかな
小皿,こざら
枯死,こし
古紙,こし
腰,こし
腰掛け,こしかけ
古式,こしき
腰砕け,こしくだけ
腰高,こしだか
固執,こしつ
個室,こしつ
腰縄,こしなわ
古書,こしょ
故障,こしょう
呼称,こしょう
湖沼,こしょう
胡椒,こしょう
居士,こじ
故事,こじ
孤児,こじ
誇示,こじ
固辞,こじ
古寺,こじ
孤児院,こじいん
乞食,こじき
小島,こじま
古城,こじょう
故人,こじん
個人,こじん
個人差,こじんさ
個人主義,こじんしゅぎ
個人的,こじんてき
湖水,こすい
戸数,こすう
個数,こすう
個性,こせい
個性的,こせいてき
古生物,こせいぶつ
戸籍,こせき
戸籍謄本,こせきとうほん
小銭,こぜに
小競り合い,こぜりあい
姑息,こそく
子育て,こそだて
小袖,こそで
小僧,こぞう
個体,こたい
固体,こたい
答え,こたえ
炬燵,こたつ
古代,こだい
誇大,こだい
小高い,こだかい
子宝,こだから
小出し,こだし
木立,こだち
東風,こち
誇張,こちょう
此方,こちら
国歌,こっか
国花,こっか
国家,こっか
黒海,こっかい
国会,こっかい
国会議員,こっかいぎいん
国会議事堂,こっかいぎじどう
骨格,こっかく
国家公安委員会,こっかこうあんいいんかい
国家公務員,こっかこうむいん
国家試験,こっかしけん
国家主義,こっかしゅぎ
酷寒,こっかん
国旗,こっき
克己,こっき
国境,こっきょう
国教,こっきょう
滑稽,こっけい
国慶節,こっけいせつ
国権,こっけん
国庫,こっこ
国光,こっこう
国交,こっこう
刻々,こっこく
骨子,こっし
骨折,こっせつ
凝った,こった
骨董,こっとう
骨髄,こつずい
骨粗鬆症,こつそしょうしょう
骨壷,こつつぼ
骨肉,こつにく
骨盤,こつばん
小粒,こつぶ
小遣い,こづかい
小槌,こづち
小包,こづつみ
小手,こて
湖底,こてい
固定,こてい
固定観念,こていかんねん
固定資産,こていしさん
固定費,こていひ
固定票,こていひょう
小手先,こてさき
小手投げ,こてなげ
古典,こてん
個展,こてん
古典的,こてんてき
琴,こと
古都,こと
事,こと
孤島,ことう
事がない,ことがない
事柄,ことがら
悉く,ことごとく
今年,ことし
殊に,ことに
事によって,こと
事により,ことにより
言葉,ことば
言葉遣い,ことばづかい
寿,ことぶき
小鳥,ことり
諺,ことわざ
断らず,ことわらず
断り,ことわり
鼓動,こどう
小道具,こどうぐ
孤独,こどく
子供,こども
子供心,こどもごころ
子供たち,こどもたち
子供の頃,こどものころ
子供用,こどもよう
粉,こな
粉々,こなごな
熟し,こなし
粉雪,こなゆき
粉ミルク,こなミルク
小人数,こにんずう
子猫,こねこ
此の,この
この間,このあいだ
この内,このうち
近衛,このえ
この頃,このごろ
木の葉,このは
この辺,このへん
この外,このほか
この前,このまえ
好ましい,このましい
好み,このみ
好んで,このんで
琥珀,こはく
小幅,こはば
小春,こはる
湖畔,こはん
小鉢,こばち
小話,こばなし
小判,こばん
子羊,こひつじ
小兵,こひょう
古風,こふう
古墳,こふん
瘤,こぶ
鼓舞,こぶ
拳,こぶし
古物,こぶつ
小舟,こぶね
子分,こぶん
古文,こぶん
戸別,こべつ
個別,こべつ
戸別訪問,こべつほうもん
古木,こぼく
小骨,こぼね
駒,こま
独楽,こま
古米,こまい
細か,こまか
細かい,こまかい
細かいこと,こまかいこと
細かく,こまかく
鼓膜,こまく
細々,こまごま
小町,こまち
小回り,こまわり
混み合う,こみあう
小道,こみち
小麦,こむぎ
小麦粉,こむぎこ
小結,こむすび
米,こめ
米倉,こめぐら
米粉,こめこ
米粒,こめつぶ
米屋,こめや
小文字,こもじ
子持ち,こもち
小物,こもの
子守,こもり
子守唄,こもりうた
顧問,こもん
古文書,こもんじょ
小屋,こや
子役,こやく
肥やし,こやし
小山,こやま
固有,こゆう
固有名詞,こゆうめいし
小雪,こゆき
小指,こゆび
今宵,こよい
雇用,こよう
暦,こよみ
古来,こらい
凝り性,こりしょう
孤立,こりつ
此れ,これ
此れから,これから
これ迄,これまで
これ等,これら
頃,ころ
古老,ころう
殺し,ころし
殺し文句,ころしもんく
殺し屋,ころしや
転び寝,ころびね
衣,ころも
衣替え,ころもがえ
怖い,こわい
声色,こわいろ
小分け,こわけ
声高,こわだか
紺,こん
懇意,こんい
婚姻,こんいん
今夏,こんか
今回,こんかい
根幹,こんかん
懇願,こんがん
今季,こんき
根気,こんき
今期,こんき
困窮,こんきゅう
根拠,こんきょ
根拠地,こんきょち
婚儀,こんぎ
混血,こんけつ
混血児,こんけつじ
今月,こんげつ
根源,こんげん
今後,こんご
混合,こんごう
金剛,こんごう
混在,こんざい
混雑,こんざつ
今秋,こんしゅう
今週,こんしゅう
今週末,こんしゅうまつ
今春,こんしゅん
混信,こんしん
懇親,こんしん
根治,こんじ
今昔,こんじゃく
根性,こんじょう
昏睡,こんすい
混成,こんせい
懇請,こんせい
混声,こんせい
痕跡,こんせき
今夕,こんせき
懇切,こんせつ
混戦,こんせん
根絶,こんぜつ
渾然,こんぜん
魂胆,こんたん
献立,こんだて
懇談,こんだん
昆虫,こんちゅう
根底,こんてい
混沌,こんとん
今度,こんど
混同,こんどう
金堂,こんどう
困難,こんなん
今日的,こんにちてき
今日は,こんにちは
混入,こんにゅう
今年度,こんねんど
今晩,こんばん
今晩は,こんばんは
今般,こんぱん
昆布,こんぶ
紺碧,こんぺき
混紡,こんぼう
梱包,こんぽう
根本,こんぽん
根本的,こんぽんてき
根負け,こんまけ
混迷,こんめい
今夜,こんや
婚約,こんやく
婚約者,こんやくしゃ
混乱,こんらん
建立,こんりゅう
婚礼,こんれい
焜炉,こんろ
懇話,こんわ
困惑,こんわく
碁,ご
語,ご
五,ご
後,ご
御,ご
語彙,ごい
合,ごう
号,ごう
壕,ごう
合意,ごうい
強引,ごういん
豪雨,ごうう
豪華,ごうか
豪快,ごうかい
合格,ごうかく
豪華版,ごうかばん
強姦,ごうかん
号外,ごうがい
剛毅,ごうき
号泣,ごうきゅう
合金,ごうきん
合議,ごうぎ
合計,ごうけい
豪傑,ごうけつ
剛健,ごうけん
合憲,ごうけん
豪語,ごうご
合祀,ごうし
号車,ごうしゃ
豪商,ごうしょう
強情,ごうじょう
号数,ごうすう
合成,ごうせい
豪勢,ごうせい
合成語,ごうせいご
合成樹脂,ごうせいじゅし
合成繊維,ごうせいせんい
合成洗剤,ごうせいせんざい
豪雪,ごうせつ
合繊,ごうせん
豪族,ごうぞく
強奪,ごうだつ
豪邸,ごうてい
強盗,ごうとう
合同,ごうどう
合板,ごうはん
合否,ごうひ
合弁,ごうべん
号砲,ごうほう
豪放,ごうほう
合法,ごうほう
合法的,ごうほうてき
傲慢,ごうまん
拷問,ごうもん
合理,ごうり
合理化,ごうりか
合理的,ごうりてき
合流,ごうりゅう
合力,ごうりょく
号令,ごうれい
護衛,ごえい
呉越同舟,ごえつどうしゅう
ご遠慮ください,ごえんりょください
誤解,ごかい
碁会所,ごかいじょ
互角,ごかく
語感,ごかん
五感,ごかん
互換,ごかん
語学,ごがく
語学力,ごがくりょく
護岸,ごがん
語気,ごき
蜚蠊,ごきぶり
ご協力,ごきょうりょく
語句,ごく
極,ごく
極悪,ごくあく
極意,ごくい
極彩色,ごくさいしき
極上,ごくじょう
獄中,ごくちゅう
極道,ごくどう
極秘,ごくひ
極貧,ごくひん
極細,ごくぼそ
極楽,ごくらく
ご苦労様,ごくろうさま
護憲,ごけん
語源,ごげん
護国,ごこく
午後,ごご
誤差,ごさ
後妻,ごさい
誤算,ごさん
御三家,ごさんけ
茣蓙,ござ
越し,ごし
五色,ごしき
誤射,ごしゃ
ご主人,ごしゅじん
御所,ごしょ
後生大事,ごしょうだいじ
誤植,ごしょく
護身,ごしん
誤診,ごしん
誤字,ごじ
護持,ごじ
後日,ごじつ
五十音,ごじゅうおん
五十三次,ごじゅうさんつぎ
五重奏,ごじゅうそう
互助,ごじょ
語数,ごすう
互選,ごせん
五線,ごせん
五線譜,ごせんふ
瞽女,ごぜ
午前,ごぜん
午前中,ごぜんちゅう
護送,ごそう
ご存知,ごぞんじ
五体,ごたい
ご馳走,ごちそう
ご馳走様,ごちそうさま
ご馳走様でした,ごちそうさまでした
伍長,ごちょう
極寒,ごっかん
後手,ごて
御殿,ごてん
毎,ごと
如し,ごとし
毎に,ごとに
誤認,ごにん
五人組,ごにんぐみ
ご破算,ごはさん
誤判,ごはん
ご飯,ごはん
誤爆,ごばく
碁盤,ごばん
語尾,ごび
呉服,ごふく
五分,ごぶ
五分五分,ごぶごぶ
ご無沙汰,ごぶさた
誤報,ごほう
語法,ごほう
ご褒美,ごほうび
胡麻,ごま
塵,ごみ
御免,ごめん
ご免ください,ごめんください
五目,ごもく
誤訳,ごやく
御用,ごよう
誤用,ごよう
御用達,ごようたし
御用邸,ごようてい
娯楽,ごらく
ご覧,ごらん
御利益,ごりやく
五輪,ごりん
ご連絡,ごれんらく
語録,ごろく
権化,ごんげ
言語道断,ごんごどうだん
差,さ
犀,さい
債,さい
最,さい
才,さい
差異,さい
際,さい
再,さい
歳,さい
最愛,さいあい
最悪,さいあく
最右翼,さいうよく
再演,さいえん
菜園,さいえん
最下,さいか
再開,さいかい
再会,さいかい
際会,さいかい
再開発,さいかいはつ
才覚,さいかく
再確認,さいかくにん
災害,さいがい
才気,さいき
再起,さいき
再起動,さいきどう
最強,さいきょう
最近,さいきん
細菌,さいきん
猜疑,さいぎ
祭儀,さいぎ
細工,さいく
採掘,さいくつ
最恵国,さいけいこく
採決,さいけつ
採血,さいけつ
裁決,さいけつ
細見,さいけん
債券,さいけん
債権,さいけん
再建,さいけん
再検討,さいけんとう
歳月,さいげつ
際限,さいげん
再現,さいげん
最古,さいこ
採光,さいこう
最高,さいこう
再考,さいこう
再興,さいこう
採鉱,さいこう
最高級,さいこうきゅう
最高検,さいこうけん
最高裁,さいこうさい
最高裁判所,さいこうさいばんしょ
最高潮,さいこうちょう
最後尾,さいこうび
最高峰,さいこうほう
最後列,さいこうれつ
再婚,さいこん
最期,さいご
最後,さいご
最後の舞台,さいごのぶたい
再々,さいさい
再三,さいさん
採算,さいさん
祭祀,さいし
妻子,さいし
彩色,さいしき
際して,さいして
祭主,さいしゅ
採取,さいしゅ
最終,さいしゅう
採集,さいしゅう
最終的,さいしゅうてき
再出発,さいしゅっぱつ
歳出,さいしゅつ
最初,さいしょ
最小,さいしょう
最少,さいしょう
宰相,さいしょう
最小限,さいしょうげん
最小限度,さいしょうげんど
菜食,さいしょく
最新,さいしん
再審,さいしん
細心,さいしん
最新鋭,さいしんえい
最新研究,さいしんけんきゅう
最新情報,さいしんじょうほう
祭事,さいじ
歳時記,さいじき
祭日,さいじつ
最重点,さいじゅうてん
最上,さいじょう
斎場,さいじょう
才人,さいじん
祭神,さいじん
再生,さいせい
最盛期,さいせいき
再生産,さいせいさん
採石,さいせき
砕石,さいせき
再選,さいせん
最先端,さいせんたん
最善,さいぜん
最前線,さいぜんせん
最前列,さいぜんれつ
催促,さいそく
最速,さいそく
細則,さいそく
最多,さいた
妻帯,さいたい
採択,さいたく
埼玉,さいたま
最たるもの,さいたるもの
最短,さいたん
採炭,さいたん
最大,さいだい
最大限,さいだいげん
最大公約数,さいだいこうやくすう
裁断,さいだん
祭壇,さいだん
最中,さいちゅう
最長,さいちょう
再調査,さいちょうさ
裁定,さいてい
最低,さいてい
最低限,さいていげん
最適,さいてき
祭典,さいてん
採点,さいてん
再度,さいど
再読,さいどく
災難,さいなん
歳入,さいにゅう
再任,さいにん
再認識,さいにんしき
再燃,さいねん
最年少,さいねんしょう
才能,さいのう
再配置,さいはいち
再発,さいはつ
再犯,さいはん
再版,さいはん
再販,さいはん
栽培,さいばい
裁判,さいばん
裁判官,さいばんかん
裁判所,さいばんしょ
歳費,さいひ
採否,さいひ
財布,さいふ
細部,さいぶ
細分,さいぶん
再分配,さいぶんぱい
再編,さいへん
再訪,さいほう
裁縫,さいほう
再保険,さいほけん
細胞,さいぼう
細胞内,さいぼうない
細胞分裂,さいぼうぶんれつ
歳末,さいまつ
細密,さいみつ
催眠,さいみん
催眠術,さいみんじゅつ
債務,さいむ
細目,さいもく
最優遇,さいゆうぐう
採用,さいよう
再来,さいらい
最良,さいりょう
裁量,さいりょう
催涙,さいるい
祭礼,さいれい
再録,さいろく
採録,さいろく
幸い,さいわい
再スタート,さいスタート
冴え,さえ
差益,さえき
竿,さお
早乙女,さおとめ
坂,さか
境,さかい
境目,さかいめ
榊,さかき
酒蔵,さかぐら
逆さ,さかさ
逆しま,さかしま
杯,さかずき
逆立ち,さかだち
酒店,さかだな
魚,さかな
肴,さかな
魚釣り,さかなつり
逆なで,さかなで
魚屋,さかなや
酒場,さかば
坂道,さかみち
酒盛り,さかもり
酒屋,さかや
逆らう,さからう
盛り,さかり
盛り場,さかりば
盛ん,さかん
左官,さかん
差額,さがく
探し物,さがしもの
下がり,さがり
左岸,さがん
砂岩,さがん
崎,さき
左記,さき
先,さき
先送り,さきおくり
先駆け,さきがけ
先頃,さきごろ
先々,さきざき
先高,さきだか
先立,さきだ
先取り,さきどり
先に,さきに
先払い,さきばらい
先ほど,さきほど
先細り,さきぼそり
先回り,さきまわり
先物,さきもの
先安,さきやす
砂丘,さきゅう
先行き,さきゆき
詐欺,さぎ
詐欺師,さぎし
作業,さぎょう
作業環境,さぎょうかんきょう
作,さく
策,さく
柵,さく
作為,さくい
作為的,さくいてき
索引,さくいん
作画,さくが
作柄,さくがら
作劇,さくげき
削減,さくげん
錯誤,さくご
酢酸,さくさん
作詩,さくし
策士,さくし
作詞,さくし
作者,さくしゃ
搾取,さくしゅ
昨秋,さくしゅう
昨春,さくしゅん
削除,さくじょ
作製,さくせい
作成,さくせい
作戦,さくせん
錯綜,さくそう
作付け,さくづけ
作付面積,さくづけめんせき
策定,さくてい
昨冬,さくとう
策動,さくどう
搾乳,さくにゅう
昨年,さくねん
昨年度,さくねんど
昨年来,さくねんらい
昨晩,さくばん
作品,さくひん
作風,さくふう
作文,さくぶん
策謀,さくぼう
作物,さくもつ
桜,さくら
錯乱,さくらん
桜んぼ,さくらんぼ
策略,さくりゃく
炸裂,さくれつ
探り,さぐり
酒,さけ
鮭,さけ
酒好き,さけずき
酒造り,さけづくり
酒飲み,さけのみ
叫び,さけび
叫び声,さけびごえ
裂け目,さけめ
下げ足,さげあし
左舷,さげん
鎖国,さこく
鎖骨,さこつ
笹,ささ
些細,ささい
査察,ささつ
笹原,ささはら
細雪,ささめゆき
細やか,ささやか
刺し,さし
差し当たり,さしあたり
刺し網,さしあみ
差し入れ,さしいれ
挿絵,さしえ
差し押さえ,さしおさえ
差し替え,さしかえ
差し込み,さしこみ
指図,さしず
差出人,さしだしにん
差し支え,さしつかえ
差し手,さして
指し手,さして
差し止め,さしとめ
差し引き,さしひき
刺身,さしみ
詐取,さしゅ
査証,さしょう
詐称,さしょう
匙,さじ
桟敷,さじき
砂上,さじょう
流石,さすが
左折,させつ
左遷,させん
誘い,さそい
誘い水,さそいみず
誘う,さそう
嘸,さぞ
沙汰,さた
定か,さだか
定め,さだめ
幸,さち
作歌,さっか
作家,さっか
錯覚,さっかく
殺気,さっき
先,さっき
殺気立つ,さっきだつ
作況,さっきょう
作況指数,さっきょうしすう
作曲,さっきょく
作曲家,さっきょくか
殺菌,さっきん
昨今,さっこん
察し,さっし
冊子,さっし
殺傷,さっしょう
刷新,さっしん
冊数,さっすう
早速,さっそく
察知,さっち
殺虫,さっちゅう
殺虫剤,さっちゅうざい
薩長,さっちょう
颯と,さっと
殺到,さっとう
殺風景,さっぷうけい
札幌,さっぽろ
冊,さつ
札,さつ
殺意,さつい
撮影,さつえい
殺害,さつがい
五月晴れ,さつきばれ
殺人,さつじん
殺人事件,さつじんじけん
札束,さつたば
さつま芋,さつまいも
殺戮,さつりく
偖,さて
査定,さてい
茶店,さてん
砂糖,さとう
左党,さとう
里親,さとおや
里帰り,さとがえり
里子,さとご
諭し,さとし
悟り,さとり
茶道,さどう
作動,さどう
早苗,さなえ
真田,さなだ
左派,さは
鯖,さば
裁き,さばき
砂漠,さばく
寂,さび
錆,さび
寂しい,さびしい
左辺,さへん
差別,さべつ
作法,さほう
左方,さほう
砂防,さぼう
様,さま
様変わり,さまがわり
様々,さまざま
妨げ,さまたげ
瑣末,さまつ
彷徨う,さまよう
五月雨,さみだれ
寒い,さむい
寒気,さむけ
寒さ,さむさ
寒々,さむざむ
侍,さむらい
鮫,さめ
査問,さもん
鞘,さや
左右,さゆう
作用,さよう
左様なら,さようなら
左翼,さよく
皿,さら
皿洗い,さらあらい
再来月,さらいげつ
再来週,さらいしゅう
再来年,さらいねん
浚う,さらう
更に,さらに
猿,さる
申,さる
沢,さわ
騒がしい,さわがしい
騒ぎ,さわぎ
沢地,さわち
沢辺,さわべ
爽やか,さわやか
左腕,さわん
酸,さん
賛,さん
三,さん
賛意,さんい
散逸,さんいつ
産院,さんいん
参院,さんいん
賛歌,さんか
惨禍,さんか
産科,さんか
酸化,さんか
参加,さんか
傘下,さんか
散会,さんかい
