大きい, おお
小さい,　ちい	
長い, な
短い, みじ
高い, たか
安い, やす
低い, ひく
重い, おも
軽い, かる
良い, い
悪い, わ
新しい, あた
古い, ふる
難しい, むずか
易しい, やさ
広い, ひろ
狭い, せま
汚い, きた
楽しい, たの
面白い, おもしろ
嬉しい, うれ
悲しい, かな
怖い, こわ
忙しい, いそが
寂しい, さび
可愛い, かわ
美味しい, おい
甘い, あま
辛い, から
暑い, あつ
寒い, さむ
熱い, あつ
冷たい, つめ
速い, はや
遅い, おそ
近い, ちか
遠い, とお
暑い, あつ
熱い, あつ
寒い, さむ
冷たい, つめ
痛い, いた
痒い, かゆ
眩しい, まぶ
臭い, くさ
眠い, ねむ
優しい, やさ
厳しい, きび
珍しい, めずら
正しい, ただ
酷い, ひど
詳しい, くわ
細かい, こま
恥ずかしい, はず
羨ましい, うらやま
懐かしい, なつ
惜しい, お
怪しい, あや
