Target,Direction,Pattern,Reading,Note
月,B,[0-9]+,がつ,5月 (gatsu)
月,B,ヶ,げつ,ヶ月 (getsu)
月,B,の,つき,次の月 (tsuki)
日,B,[0-9]+,にち,15日 (nichi)
日,B,10,とおか,10日 (tooka - special)
日,B,の,ひ,次の日 (hi)
人,B,[0-9]+,にん,3人 (nin)
人,B,の,ひと,隣の人 (hito)
事,A,こと､こと
事,A,が､こと,事がない
事,A,に､こと,事により
言え,B,う､い､言う
言っ,B,う､い､言う
言え,B,と､い､言う
言っ,B,と､い､言う
母,B,お,かあ,おかあさん
金,A,が,かね,お金
等,B,こいつ,ら,こいつ等
